,county_state,county,state,state_long,total_zipcode_score,id
117,"Baldwin County, AL",Baldwin County,AL,Alabama,0.5498206465266517,01003
118,"Baldwin County, GA",Baldwin County,GA,Georgia,0.5302461710748178,13009
119,"Ballard County, KY",Ballard County,KY,Kentucky,0.3566057989731893,21007
120,"Baltimore County, MD",Baltimore County,MD,Maryland,0.6573129658676845,24005
121,"Baltimore city, MD",Baltimore city,MD,Maryland,0.5129986487246244,24510
122,"Bamberg County, SC",Bamberg County,SC,South Carolina,0.3755564508900203,45009
123,"Bandera County, TX",Bandera County,TX,Texas,0.4883119327731093,48019
124,"Banks County, GA",Banks County,GA,Georgia,0.4679795451972592,13011
125,"Banner County, NE",Banner County,NE,Nebraska,0.4140656470588235,31007
126,"Bannock County, ID",Bannock County,ID,Idaho,0.574841003289965,16005
127,"Baraga County, MI",Baraga County,MI,Michigan,0.4112416806722689,26013
128,"Barber County, KS",Barber County,KS,Kansas,0.4312893445378151,20007
129,"Barbour County, AL",Barbour County,AL,Alabama,0.3677509181715418,01005
130,"Barbour County, WV",Barbour County,WV,West Virginia,0.39178276320142114,54001
131,"Barnes County, ND",Barnes County,ND,North Dakota,0.4882383697478992,38003
132,"Barnstable County, MA",Barnstable County,MA,Massachusetts,0.6007356378830917,25001
133,"Barnwell County, SC",Barnwell County,SC,South Carolina,0.3850934150417347,45011
134,"Barren County, KY",Barren County,KY,Kentucky,0.3803935193248962,21009
135,"Barron County, WI",Barron County,WI,Wisconsin,0.4831995630126264,55005
136,"Barrow County, GA",Barrow County,GA,Georgia,0.6198687378163628,13013
137,"Barry County, MI",Barry County,MI,Michigan,0.6436283826136018,26015
138,"Barry County, MO",Barry County,MO,Missouri,0.3864263986616625,29009
139,"Bartholomew County, IN",Bartholomew County,IN,Indiana,0.5238326541533752,18005
140,"Barton County, KS",Barton County,KS,Kansas,0.4569932662064709,20009
141,"Barton County, MO",Barton County,MO,Missouri,0.44981795345772524,29011
142,"Bartow County, GA",Bartow County,GA,Georgia,0.5037185274875784,13015
143,"Bastrop County, TX",Bastrop County,TX,Texas,0.5664293271009584,48021
144,"Bates County, MO",Bates County,MO,Missouri,0.46050819846941343,29013
145,"Bath County, KY",Bath County,KY,Kentucky,0.4261121781211778,21011
146,"Bath County, VA",Bath County,VA,Virginia,0.38578843816226444,51017
147,"Baxter County, AR",Baxter County,AR,Arkansas,0.383393281850056,05005
148,"Bay County, FL",Bay County,FL,Florida,0.5775285470140954,12005
149,"Bay County, MI",Bay County,MI,Michigan,0.5292146912755913,26017
150,"Bayfield County, WI",Bayfield County,WI,Wisconsin,0.4610168571428572,55007
151,"Baylor County, TX",Baylor County,TX,Texas,0.4207640629626764,48023
152,"Beadle County, SD",Beadle County,SD,South Dakota,0.5274589161333417,46005
153,"Bear Lake County, ID",Bear Lake County,ID,Idaho,0.435237243697479,16007
154,"Beaufort County, NC",Beaufort County,NC,North Carolina,0.4877371943443287,37013
155,"Beaufort County, SC",Beaufort County,SC,South Carolina,0.6236399489170753,45013
156,"Beauregard Parish, LA",Beauregard Parish,LA,Louisiana,0.4657976638655462,22011
157,"Beaver County, OK",Beaver County,OK,Oklahoma,0.4012421176470588,40007
158,"Beaver County, PA",Beaver County,PA,Pennsylvania,0.5367599476877892,42007
159,"Beaver County, UT",Beaver County,UT,Utah,0.5067785951027421,49001
160,"Beaverhead County, MT",Beaverhead County,MT,Montana,0.4324044537815126,30001
161,"Becker County, MN",Becker County,MN,Minnesota,0.5100371428571429,27005
162,"Beckham County, OK",Beckham County,OK,Oklahoma,0.42350825530337993,40009
163,"Bedford County, PA",Bedford County,PA,Pennsylvania,0.446656335580299,42009
164,"Bedford County, TN",Bedford County,TN,Tennessee,0.5517006392505173,47003
165,"Bedford County, VA",Bedford County,VA,Virginia,0.5483743045634646,51019
166,"Bee County, TX",Bee County,TX,Texas,0.4355824929206727,48025
167,"Belknap County, NH",Belknap County,NH,New Hampshire,0.5823764215002034,33001
168,"Bell County, KY",Bell County,KY,Kentucky,0.2138571804921686,21013
169,"Bell County, TX",Bell County,TX,Texas,0.5783845243600562,48027
170,"Belmont County, OH",Belmont County,OH,Ohio,0.4599049835854945,39013
171,"Beltrami County, MN",Beltrami County,MN,Minnesota,0.4576756302521009,27007
172,"Ben Hill County, GA",Ben Hill County,GA,Georgia,0.4098087473165086,13017
173,"Benewah County, ID",Benewah County,ID,Idaho,0.2661146554621849,16009
174,"Bennett County, SD",Bennett County,SD,South Dakota,0.3508571428571428,46007
175,"Bennington County, VT",Bennington County,VT,Vermont,0.4655781693576158,50003
176,"Benson County, ND",Benson County,ND,North Dakota,0.45367393277310925,38005
177,"Bent County, CO",Bent County,CO,Colorado,0.3443850756302521,08011
178,"Benton County, AR",Benton County,AR,Arkansas,0.5992375729221131,05007
179,"Benton County, IA",Benton County,IA,Iowa,0.5342267841650656,19011
180,"Benton County, IN",Benton County,IN,Indiana,0.41362999772796544,18007
181,"Benton County, MN",Benton County,MN,Minnesota,0.6406022612163184,27009
182,"Benton County, MO",Benton County,MO,Missouri,0.4406367828038446,29015
183,"Benton County, MS",Benton County,MS,Mississippi,0.33427816857388265,28009
184,"Benton County, OR",Benton County,OR,Oregon,0.6031673699913909,41003
185,"Benton County, TN",Benton County,TN,Tennessee,0.40088666201648737,47005
186,"Benton County, WA",Benton County,WA,Washington,0.730630572811251,53005
187,"Benzie County, MI",Benzie County,MI,Michigan,0.48747300987949727,26019
188,"Bergen County, NJ",Bergen County,NJ,New Jersey,0.6643444123624799,34003
189,"Berkeley County, SC",Berkeley County,SC,South Carolina,0.5474342244217716,45015
190,"Berkeley County, WV",Berkeley County,WV,West Virginia,0.6331683735913902,54003
191,"Berks County, PA",Berks County,PA,Pennsylvania,0.616656565682973,42011
192,"Berkshire County, MA",Berkshire County,MA,Massachusetts,0.5304004969897521,25003
193,"Bernalillo County, NM",Bernalillo County,NM,New Mexico,0.5662738688010189,35001
194,"Berrien County, GA",Berrien County,GA,Georgia,0.3424896282017281,13019
195,"Berrien County, MI",Berrien County,MI,Michigan,0.5356633006257834,26021
196,"Bertie County, NC",Bertie County,NC,North Carolina,0.3515667386461224,37015
197,"Bexar County, TX",Bexar County,TX,Texas,0.5202201378679454,48029
198,"Bibb County, AL",Bibb County,AL,Alabama,0.4808309742207699,01007
199,"Bibb County, GA",Bibb County,GA,Georgia,0.441436072593917,13021
200,"Bienville Parish, LA",Bienville Parish,LA,Louisiana,0.3540508961078544,22013
201,"Big Horn County, MT",Big Horn County,MT,Montana,0.38328276623699126,30003
202,"Big Horn County, WY",Big Horn County,WY,Wyoming,0.4939870924369748,56003
203,"Big Stone County, MN",Big Stone County,MN,Minnesota,0.4688996134453782,27011
204,"Billings County, ND",Billings County,ND,North Dakota,0.4633080168067227,38007
205,"Bingham County, ID",Bingham County,ID,Idaho,0.5165188940812312,16011
206,"Black Hawk County, IA",Black Hawk County,IA,Iowa,0.5358494174897809,19013
207,"Blackford County, IN",Blackford County,IN,Indiana,0.47893626506052667,18009
208,"Bladen County, NC",Bladen County,NC,North Carolina,0.411860764076469,37017
209,"Blaine County, ID",Blaine County,ID,Idaho,0.6000647477312859,16013
210,"Blaine County, MT",Blaine County,MT,Montana,0.4071531206840642,30005
211,"Blaine County, NE",Blaine County,NE,Nebraska,0.3374050420168067,31009
212,"Blaine County, OK",Blaine County,OK,Oklahoma,0.3814664574609344,40011
213,"Blair County, PA",Blair County,PA,Pennsylvania,0.49635196881762556,42013
214,"Blanco County, TX",Blanco County,TX,Texas,0.5242085152448479,48031
215,"Bland County, VA",Bland County,VA,Virginia,0.3841327639797967,51021
216,"Bleckley County, GA",Bleckley County,GA,Georgia,0.4895866326204735,13023
217,"Bledsoe County, TN",Bledsoe County,TN,Tennessee,0.5198446305100866,47007
218,"Blount County, AL",Blount County,AL,Alabama,0.4357056705009787,01009
219,"Blount County, TN",Blount County,TN,Tennessee,0.51388795728869,47009
220,"Blue Earth County, MN",Blue Earth County,MN,Minnesota,0.5844631744964134,27013
221,"Boise County, ID",Boise County,ID,Idaho,0.43008700840336134,16015
222,"Bolivar County, MS",Bolivar County,MS,Mississippi,0.2804480577745936,28011
223,"Bollinger County, MO",Bollinger County,MO,Missouri,0.39590759372648443,29017
224,"Bon Homme County, SD",Bon Homme County,SD,South Dakota,0.4616303891454203,46009
225,"Bond County, IL",Bond County,IL,Illinois,0.3564185479878244,17005
226,"Bonner County, ID",Bonner County,ID,Idaho,0.4231759384453758,16017
227,"Bonneville County, ID",Bonneville County,ID,Idaho,0.5944717168963682,16019
228,"Boone County, AR",Boone County,AR,Arkansas,0.39204252100840337,05009
229,"Boone County, IA",Boone County,IA,Iowa,0.5791315860128288,19015
230,"Boone County, IL",Boone County,IL,Illinois,0.6042603249185519,17007
231,"Boone County, IN",Boone County,IN,Indiana,0.6490472206738551,18011
